segmentName,test_short_noisyPhase_PESQ,test_short_noisyPhase_STOI,test_short_noisyPhase_SegSNR,test_short_noisyPhase_DNSMOS_OVRL,test_short_noisyPhase_DNSMOS_SIG,test_short_noisyPhase_DNSMOS_BAK
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_35,2797,0.772923571405459,4.25878212236129,3.07962969559724,3.45216349104585,3.91157707265471
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_36,2862,0.664948064237828,2.75102892375266,3.20732325796995,3.51470998409319,4.04837242598051
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_37,2948,0.670466300041069,4.75476078359838,3.2687706064849,3.58504205968391,4.04329705898707
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_38,3253,0.553422784760414,0.969708723973941,3.04770735945395,3.42752602154709,3.8902590976883
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_39,3.37,0.579433337066256,2.25374758564864,2.53707767421196,2.85450363295514,3.7656170346682
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_40,2666,0.686008226703223,3.30383906778062,2.83062467591979,3.15715045984586,3.90782985026369
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_41,3742,0.765257925816128,2.96804451523378,3.4055854503653,3.66239516095044,4.12540284137552
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_42,3.08,0.862650371925938,4.20658490095322,3.19283772570607,3.53126516731278,4.00272810759435
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_43,3286,0.611420965496408,3.59002199161097,3.26201979736791,3.59862094258923,3.97373991403381
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_44,3422,0.897120814353884,4.38849957242402,3.24666586666118,3.5500854672788,4.04733052249097
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_45,2312,0.812829389049864,7.81323544419578,3.30009259915844,3.58420073561763,4.0828619475069
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_46,3718,0.729734294860883,6.14904468377746,3.06092223746772,3.40316109142582,3.96468652120148
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_47,3173,0.693843269970162,5.7178782314651,3.11838717588829,3.4236211423881,4.00707000588332
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_48,3.45,0.585119075847327,2.61112277873515,3.12788746202753,3.47000765795061,3.97160880765021
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_49,3543,0.623299294535766,3.30357473850838,2.90346796301462,3.18953276864691,3.95687543553168
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_50,3345,0.794358795257528,5.67296578450562,3.1918558170601,3.48774733665047,4.02539559982149
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_51,4.01,0.778263063312988,5.76041075244768,3.41103075335917,3.68165221707544,4.10620940908848
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_52,3541,0.87952899077812,6.03399301812752,3.09875158968073,3.42473137373806,4.03003310275081
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_53,3888,0.659502874537115,6.54338788037342,3.2795952112221,3.67056837008578,3.85356445340972
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_54,3774,0.899946703363937,5.82103568683807,3.39690372393698,3.66545967348843,4.12317686350762
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_55,3815,0.847776085922391,9.85164936273879,3.30951171569868,3.58367397439183,4.09163924320564
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_56,4202,0.741937424890714,7.9649422539776,3.13409920912391,3.45549067256076,3.9971971392723
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_57,3869,0.729542589791269,8.50672036895289,3.19394832213585,3.52798316583187,3.99243614082059
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_58,3958,0.611372607019882,4.45574522967992,3.16414602502284,3.53002654490981,3.892612901269
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_59,3529,0.612683152922734,5.28103564268766,2.74175890991728,3.06584764237309,3.82512299927779
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_60,3702,0.836441178900955,7.37833577463059,3.11146332025086,3.43628393095391,3.96530122847549
p245_017_Pub_Noise_Binaural_V2_0dB_SNR_61,2267,0.653357889940601,3.83028226222221,2.98885447440857,3.3797139232428,3.83764806074834
p248_211_Pub_Noise_Binaural_V2_0dB_SNR_62,2007,0.711326261649663,3.15121444849816,2.42545240701122,2.72824487522491,3.86188785686305
p245_314_Pub_Noise_Binaural_V2_0dB_SNR_63,2094,0.541995075878254,5.03438519017577,2.96246060798205,3.34722268595449,3.79204558005905
p226_203_Pub_Noise_Binaural_V2_0dB_SNR_64,2276,0.73306549802129,3.06244387005913,2.6969038711585,3.09689526647634,3.69665479165376
p272_029_Pub_Noise_Binaural_V2_0dB_SNR_65,2039,0.621002963105299,5.5959929691365,2.45237789453678,2.78387983659415,3.76543780513881
